Symbol,Volume
EVLVW,191300
EVMT,600
EVO,172200
EVOK,16000
EVRG,1630300
EVSD,16400
EVTV,592000
EWBC,613800
EWCZ,925500
EWJV,24200
EWTX,328200
EWZS,104000
EXAS,5857200
EXC,5591700
EXE,2605400
EXEEL,18500
EXEL,1308100
EXFY,754900
EXLS,632800
EXPE,991700
EXPI,539700
EXPO,175300
EXTR,1138300
EYE,1526000
EYEG,100
EYEN,27120700
EYPT,637900
EZFL,48500
EZGO,40000
EZPW,455100
FA,1173800
FAAR,14400
FAAS,161800
FAASW,11800
FAB,31900
FAD,2400
FALN,489300
FAMI,112900
FANG,2466800
FARM,152300
FARO,126000
FAST,2006700
FAT,8900
FATBB,200
FATBP,9700
FATBW,100
FATE,12256800
FBIO,624700
FBIOP,11300
FBIZ,23000
FBL,488800
FBLA,123800
FBLG,221300
FBNC,252700
FBOT,3900
FBRX,124800
FBYD,6900
FBYDW,1400
FBZ,2200
FCA,18200
FCAL,6000
FCAP,4600
FCBC,22000
FCCO,24400
FCEF,6400
FCEL,1861500
FCFS,260800
FCNCA,81700
FCNCO,7100
FCNCP,29700
FCTE,81100
FCUV,102800
FCVT,3800
FDBC,3600
FDCF,5400
FDFF,9000
FDIF,2700
FDIG,97900
FDIV,10200
FDMT,1447000
FDNI,10600
FDSB,600
FDT,32200
FDTS,100
FDTX,10100
FDUS,115400
FEAM,70400
FEBO,92400
FEIM,108400
FELE,154300
FEM,157200
FEMB,23700
FEMS,21200
FEMY,138900
FENC,280100
FEP,26000
FEPI,217100
FER,31900
FEUZ,600
FEX,10000
FFBC,284100
FFIC,198800
FFIE,6498500
FFIEW,87900
FFIN,400700
FFIV,391700
FFNW,12400
FGBI,13100
FGBIP,300
FGEN,368300
FGF,26700
FGFPP,13800
FGI,6900
FGL,15700
FGM,100
FHB,900900
FHTX,79500
FIBK,1148500
FICS,25600
FID,30900
FINE,100
FINW,18000
FINX,45700
FIP,1415100
FISI,180000
FITB,5110000
FITBI,27600
FITBO,24200
FITBP,2900
FIVE,2061200
FIVN,1499600
FIXD,647900
FIZZ,146300
FJP,8200
FKU,1400
FKWL,13200
FLD,102400
FLDB,100
FLDDW,23300
FLEX,5705200
FLGC,240700
FLGT,187600
FLIC,113800
FLL,59000
FLN,4200
FLNC,9581000
FLNT,9800
FLUX,78200
FLWS,355100
FLX,13500
FLXS,29300
FLYE,117900
FLYW,1605000
FMAO,18800
FMB,183700
FMBH,36400
FMED,5300
FMET,9100
FMHI,77600
FMNB,53000
FMST,78700
FMSTW,400
FNGR,165300
FNK,7000
FNKO,302600
FNLC,16700
FNWB,14500
FNWD,3100
FNX,19100
FNY,7800
FOLD,1537400
FONR,10500
FORA,9300
FORD,15100
FORL,12500
FORM,660000
FORR,52300
FORTY,200
