Symbol,Volume
M,8097500
MA,2326700
MAA,520400
MAA-I,1200
MAC,11257200
MAGN,1017800
MAIN,301700
MAN,545200
MANU,247700
MAS,1437000
MATV,300800
MATX,224900
MAV,81000
MAX,267100
MBC,859600
MBI,641700
MC,343300
MCB,59300
MCD,2254300
MCI,51400
MCK,551000
MCN,34300
MCO,721400
MCR,98100
MCS,167600
MCW,1200200
MCY,340000
MD,715100
MDST,23700
MDT,5702500
MDU,2206200
MDV,28000
MDV-A,1900
MEC,80100
MED,139400
MEG,478000
MEGI,216600
MEI,364200
MER-K,13200
MET,3073400
MET-A,30200
MET-E,30800
MET-F,56100
MFA,824900
MFA-B,18900
MFA-C,44000
MFAN,2300
MFAO,9600
MFC,1186700
MFG,877900
MFM,94900
MG,66300
MGA,1933600
MGF,40400
MGM,2852100
MGR,32900
MGRB,10100
MGRD,7500
MGRE,23200
MGY,1842800
MHD,54400
MHF,75100
MHI,64800
MHK,494900
MHLA,800
MHN,76500
MHNC,1100
MHO,268600
MIN,159000
MIO,91900
MIR,2179500
MIT-A,3200
MIT-B,8700
MIT-C,19300
MITN,1400
MITP,27900
MITT,303000
MIY,106800
MKC,1239300
MKC.V,600
MKFG,60200
MKL,32100
ML,143300
ML.W,1400
MLI,1774700
MLM,477700
MLNK,183400
MLP,16500
MLR,108400
MMC,1918400
MMD,74900
MMI,51200
MMKT,4400
MMM,3080200
MMS,1017100
MMT,87600
MMU,75600
MNR,238200
MNSO,1138600
MNT.U,600
MNT.W,36700
MNTN,300
MO,7787200
MOD,450300
MODG,2487600
MOG.A,94700
MOGU,3700
MOH,438000
MOS,4273100
MOV,125100
MP,3269600
MPA,21000
MPC,2072200
MPLN,39600
MPLX,1177100
MPV,17800
MPW,15392000
MPX,18300
MQT,90500
MQY,208900
MRC,999200
MRK,9324000
MS,8817200
MS-A,109600
MS-E,40700
MS-F,30300
MS-I,49800
MS-K,52700
MS-L,6100
MS-O,85400
MS-P,24300
MS-Q,52300
MSA,176400
MSB,44100
MSC,5900
MSCI,362300
MSD,146600
MSDL,535200
MSGE,524300
MSGS,54100
MSI,611000
MSM,724600
MT,1697400
MTAL,179700
MTB,778400
MTB-H,10900
MTB-J,48100
MTD,181500
MTDR,933200
MTG,1238200
MTH,343000
MTN,464100
MTR,5300
MTRN,69800
MTUS,539200
MTW,318400
MTX,122400
MTZ,1336000
MUA,51700
MUC,195300
MUE,111700
MUFG,1376500
MUI,943700
MUJ,153600
MUR,1528300
MUSA,123400
MUSE,100
MUX,306100
MVF,130600
MVO,44800
MVT,34200
MWA,1176600
MX,276200
MXE,11100
MXF,72600
MYD,86100
MYE,6520700
MYI,97900
MYN,118900
MYTE,67600
NABL,436600
NAC,274100
NAD,543900
NAN,60600
NAPA,2120300
NAT,2967200
NATL,726900
NAZ,15600
NBB,95900
NBHC,178000
NBR,219100
NBXG,204800
NC,5000
NCA,173100
NCDL,373200
NCLH,7312500
NCV,634100
NCV-A,2600
NCZ,470400
NCZ-A,13300
NDMO,154500
NDP,12200
NE,1797400
NEA,771300
NEE,10563800
NEE-N,47300
NEE-R,124000
NEE-S,12900
NEE-T,182900
NEM,6383600
NEP,2048200
NET,2365100
NETZ,14200
NEU,19600
NEUE,7200
NEXA,33400
NFG,391700
NFJ,171100
NGG,985900
NGL,181200
NGL-B,11700
NGL-C,5800
NGS,67800
NGVC,172200
NGVT,396400
NHI,349400
NI,1858200
NIC,51100
