Symbol,Date,Open,High,Low,Close,Volume
ASYS,26-Nov-2024,5.88,5.885,5.68,5.83,36400
ATAI,26-Nov-2024,1.7,1.7599,1.67,1.69,1128300
ATAT,26-Nov-2024,26.08,26.125,24.84,25,981300
ATEC,26-Nov-2024,9.67,9.785,9.48,9.61,1012100
ATER,26-Nov-2024,2.69,2.77,2.51,2.57,115200
ATEX,26-Nov-2024,32.61,33.23,32.26,32.96,313700
ATGL,26-Nov-2024,17.71,17.79,13.1001,14.46,85100
ATHA,26-Nov-2024,0.6177,0.639,0.611,0.62,177800
ATHE,26-Nov-2024,1.1,1.1,1.06,1.06,6000
ATIF,26-Nov-2024,0.62,0.665,0.62,0.62,5400
ATLC,26-Nov-2024,57.09,57.44,55.3701,57.22,45700
ATLCL,26-Nov-2024,24,24.158,23.75,23.76,3300
ATLCP,26-Nov-2024,23.8,23.9,23.7095,23.8417,6200
ATLCZ,26-Nov-2024,24.95,25,24.911,24.952,20700
ATLO,26-Nov-2024,17.53,17.53,16.8201,16.9,23400
ATLX,26-Nov-2024,7.34,7.3555,6.65,6.76,192100
ATMC,26-Nov-2024,11.3101,11.3101,11.3101,11.3101,100
ATMVR,26-Nov-2024,0.1581,0.16,0.14,0.145,4300
ATNF,26-Nov-2024,2.25,2.32,2.12,2.2,51100
ATNFW,26-Nov-2024,0.0095,0.0109,0.0073,0.0109,6400
ATNI,26-Nov-2024,19.71,19.83,19.34,19.74,61200
ATOM,26-Nov-2024,6.65,6.71,5.926,6.15,671000
ATOS,26-Nov-2024,1.3,1.315,1.2712,1.29,709600
ATPC,26-Nov-2024,1.68,1.68,1.5353,1.56,15500
ATRA,26-Nov-2024,12.52,12.96,11.935,12.26,65400
ATRC,26-Nov-2024,35.95,36.705,35.56,35.79,333100
ATRO,26-Nov-2024,14.13,15.84,14.13,15.66,3259300
ATSG,26-Nov-2024,21.96,22,21.95,21.97,486900
ATXG,26-Nov-2024,0.53,0.56,0.525,0.5425,17400
ATXI,26-Nov-2024,2.06,2.15,2.0158,2.04,14600
ATXS,26-Nov-2024,9.98,10.32,9.74,10.3,229800
ATYR,26-Nov-2024,3.11,3.3699,3.055,3.29,694800
AUBN,26-Nov-2024,23.77,24,23.66,23.66,1000
AUDC,26-Nov-2024,9.27,9.395,9.21,9.33,69100
AUID,26-Nov-2024,6.25,6.86,5.9,6.05,73300
AUMI,26-Nov-2024,36.95,36.96,36.76,36.81,2300
AUPH,26-Nov-2024,8.7,8.78,8.65,8.71,750600
AUR,26-Nov-2024,6.24,6.35,6,6.05,9537500
AURA,26-Nov-2024,8.88,9.273,8.86,8.96,100800
AUROW,26-Nov-2024,0.97,0.985,0.925,0.935,17500
