Ticker,Volume,number_options
MOS,4273100,12
CHGG,4254900,8
APTV,4252100,9
ZUO,4230000,5
OWL,4204000,6
GSK,4194600,9
W,4146000,14
FHN,4134700,5
HDB,4126500,5
S,4108700,12
EXK,4061600,6
ABT,4056800,12
WIT,3986000,4
FRO,3985700,5
CTVA,3959100,6
X,3943200,18
IBN,3933100,6
GLW,3926700,14
GE,3918900,13
SJM,3914100,6
JMIA,3888300,10
VFC,3880600,12
AEO,3851000,11
DKS,3821900,12
GENI,3806600,6
CHWY,3786000,12
EQNR,3782300,6
TAL,3775800,11
KODK,3768900,5
COMP,3715000,7
VTR,3710800,6
KR,3694800,12
KOS,3673400,8
FL,3661900,14
GIS,3642500,9
AIG,3640900,13
GEO,3633500,10
AA,3632500,14
SHEL,3616900,13
KIM,3605100,4
AQN,3600400,4
VICI,3589500,6
AEG,3586200,4
DOCS,3571100,9
EVH,3569000,7
SO,3509200,13
CRBG,3502500,6
UWMC,3471000,10
ICE,3464200,8
PM,3462700,11
A,3444100,7
COUR,3442500,7
BFLY,3427500,4
UPS,3424900,14
KT,3420000,3
HBM,3416600,4
BEN,3406100,7
PLD,3367100,8
QD,3355800,4
DOC,3352300,4
PAAS,3336200,13
BRK.B,3331900,0
OVV,3314300,7
WU,3314100,4
UNP,3305300,13
BCE,3286100,6
MP,3269600,6
EMR,3254700,10
BK,3239900,7
FIGS,3237300,4
HMY,3220700,6
KKR,3211400,13
BX,3205500,16
DG,3195600,13
RTX,3176000,14
FUN,3173000,6
EOG,3129800,14
HGV,3129800,5
ACI,3124800,9
VIPS,3120700,9
TU,3091000,4
MMM,3080200,15
SBH,3076000,5
MET,3073400,13
PBR.A,3072200,0
LYB,3047100,7
O,3038800,7
CCJ,3037300,11
INFA,3033900,4
AMH,3025700,4
ADM,3017000,13
BARK,3014200,4
GTES,3007300,5
ALLY,2988900,12
NAT,2967200,6
RITM,2956900,6
YPF,2934100,6
SYF,2924100,11
RSI,2920700,6
CCI,2914000,8
KNX,2901900,5
RKT,2900400,10
WELL,2874700,6
CTV,2868900,0
MGM,2852100,14
DUK,2850600,9
GS,2846900,17
DRH,2846800,3
JNPR,2835800,11
KD,2826500,6
OSCR,2810700,10
NRDY,2799000,4
OGN,2776000,5
ARMK,2760600,4
HD,2758500,16
UDR,2758300,3
IVZ,2756700,7
AR,2751400,12
SLG,2734600,7
APO,2733700,11
STZ,2715300,12
SYY,2710100,8
PSX,2705500,14
BTI,2696600,9
UNH,2693600,16
SPOT,2660700,16
PEG,2657700,10
FIS,2646100,11
UE,2618100,4
COHR,2610100,14
DDD,2597900,6
FTV,2588800,4
CFG,2582100,8
DBI,2555500,6
OUT,2555500,7
SW,2552000,5
NUVB,2551800,4
ZTS,2539500,8
INVH,2538800,5
HLF,2527300,10
ROL,2523800,4
VSTS,2523500,7
GNW,2509000,4
ONON,2507600,14
BF.B,2499500,0
BUD,2493500,11
MODG,2487600,7
RDY,2485900,4
ING,2478700,4
YUMC,2448300,7
SEM,2438900,4
ED,2435300,6
LOW,2422200,14
CE,2417400,5
VIK,2401300,5
RERE,2395000,0
SE,2389600,14
FSLY,2389000,11
NVST,2382600,5
EAF,2379100,6
DHR,2377700,12
BYON,2371500,10
REXR,2370900,5
WY,2365400,4
NET,2365100,14
ERJ,2361900,7
SAN,2356400,4
ORC,2354900,4
BHP,2354100,8
DD,2347200,11
PCOR,2346200,4
HE,2340900,10
LYV,2338100,9
TD,2331800,7
COF,2327400,13
MA,2326700,16
LMND,2317600,11
HRL,2312200,9
LU,2309400,5
GPK,2307500,4
KMB,2305100,11
BWA,2298800,5
DT,2294200,12
AAP,2282900,11
SUPV,2281000,4
SAND,2275100,5
RLJ,2271700,3
VZIO,2267700,6
CMS,2265700,4
LBRT,2264400,7
IRT,2257800,5
DAR,2257400,6
CTRE,2254400,4
MCD,2254300,13
NOV,2241500,5
DXYZ,2237200,0
SMRT,2226400,4
CXM,2224500,6
CBRE,2216600,4
MDU,2206200,5
STEM,2200800,5
BHC,2193100,14
CNM,2190400,6
STT,2184700,8
MIR,2179500,5
EQC,2178300,4
BDX,2176500,4
KLG,2169000,4
WRBY,2166600,5
AMX,2162700,4
PSTG,2154300,9
AGI,2147100,11
PRMB,2146300,4
HAYW,2137100,3
TAP,2132600,7
AXP,2130700,16
NAPA,2120300,4
ANET,2119800,12
UL,2118600,6
WTI,2117800,5
PGR,2114800,12
JBI,2111700,4
ACN,2106300,12
ATUS,2105000,6
ETN,2096100,8
TTE,2075900,6
MPC,2072200,16
BN,2054300,4
EIX,2052200,4
TBBB,2052000,4
ELF,2050200,16
NEP,2048200,6
BANC,2020200,5
BURL,2019800,11
BDN,2017500,4
ALL,2010500,8
GEV,2007900,16
PDM,1999200,3
LEN,1997200,15
NTR,1991700,10
CWAN,1981400,4
AXTA,1980300,5
ABR,1973800,16
CNX,1973800,9
ALB,1973300,11
CTLT,1963900,7
AMPX,1963200,5
PD,1962800,6
DLR,1962600,12
BERY,1956000,5
HWM,1947800,7
EQH,1941400,4
GPN,1937000,8
MGA,1933600,6
CAVA,1931100,12
GDDY,1925800,12
MMC,1918400,4
KRG,1912900,5
UA,1906700,4
AEM,1905400,15
RRC,1903100,5
TPX,1899600,6
PNC,1897500,13
LEVI,1893900,6
KN,1892200,4
SHW,1889300,8
ASB,1889100,4
ASPN,1879000,12
FI,1868500,12
NI,1858200,4
ETR,1856500,6
EB,1854600,5
HRB,1854400,5
FNB,1854200,4
ESTC,1846100,12
LXP,1845800,3
EC,1844000,4
MGY,1842800,5
AXL,1842100,6
OHI,1834900,6
BJ,1831300,6
LW,1830800,6
DHI,1826300,12
IOT,1822500,13
DHT,1822300,6
DBRG,1816100,5
BA-A,1807600,0
YUM,1805600,9
OLO,1802300,4
FE,1801000,8
CIG,1798100,4
NRGV,1797500,4
NE,1797400,10
CAT,1796700,15
AMT,1791400,9
APD,1785000,8
SONY,1783100,10
AESI,1780400,5
GES,1780200,5
MLI,1774700,4
CVNA,1772200,14
BOX,1770300,6
RIO,1765000,11
TWLO,1761900,13
OBDC,1754200,4
WSM,1750600,9
VIST,1748600,7
TMO,1748500,12
CF,1748200,13
STWD,1747500,6
DE,1747200,13
TRGP,1733700,7
VLO,1728800,13
NUE,1728500,12
AM,1715400,6
NWG,1710500,4
BBVA,1701400,4
MT,1697400,10
CI,1695300,13
DINO,1685200,5
CAH,1684700,11
AHR,1684100,4
FLO,1679500,4
DSX,1676100,4
TSN,1669900,8
FDX,1669300,15
BGS,1668500,5
WPM,1664100,10
BAH,1661900,6
PDI,1656800,0
FND,1652700,8
PACS,1650200,5
YOU,1650000,6
PBI,1648700,10
CYH,1635100,6
TECK,1631700,15
SPCE,1625400,12
COLD,1624000,4
CB,1623900,8
HAFN,1623600,0
AMBP,1619300,5
RCL,1615600,14
CC,1614500,8
VSTO,1613400,0
ELV,1611200,7
CLS,1610600,13
GFI,1607900,9
KMX,1605600,7
SES,1603600,4
APLE,1602100,4
BROS,1599900,6
FMC,1590500,10
CCO,1588300,5
ARES,1586500,4
BKD,1586500,4
USFD,1586200,6
TRP,1578000,5
HUN,1572100,6
HUM,1555900,14
TGNA,1552800,5
VYX,1543900,5
DEO,1543600,4
AJG,1538500,4
CRGY,1537900,4
VSCO,1537400,8
XYL,1536300,7
NYT,1534100,4
ATEN,1528700,5
MUR,1528300,7
PHM,1520800,13
BG,1518200,6
DV,1507700,7
SG,1505700,6
DX,1504600,4
DECK,1503200,12
FREY,1494000,5
ESI,1483500,5
PEB,1479100,5
QSR,1473600,9
GOTU,1468500,6
YETI,1464100,6
SCI,1463400,4
LOMA,1460000,4
HMC,1455300,4
AS,1452800,5
UBS,1446900,10
BRFS,1445800,4
CMA,1443700,14
VLRS,1443700,4
TRU,1440700,7
EFXT,1437600,4
ARCO,1437300,4
MAS,1437000,4
HES,1434700,11
SBS,1434700,4
VNO,1434500,7
THC,1430500,9
PK,1427200,4
IR,1426700,6
JEF,1425400,6
ES,1420800,4
VET,1414400,5
KEYS,1404200,6
ASAN,1402300,12
CWH,1399500,6
BILL,1398600,11
SITC,1397600,4
SID,1392100,4
KIND,1391000,4
KRC,1390700,4
XPO,1390200,8
TOL,1388700,10
RVLV,1378600,6
MUFG,1376500,4
BRO,1371800,4
IQV,1370000,5
VLTO,1369000,5
SPG,1358500,9
TV,1355800,5
CADE,1353700,4
GTN,1353500,5
LMT,1345700,12
TRV,1339100,7
SNDR,1339000,4
LEG,1338000,5
NVS,1336400,6
MTZ,1336000,10
CUBE,1335500,4
SKX,1334700,7
AWK,1332900,4
VVV,1330500,6
WEAV,1320500,4
FLR,1318300,12
CDP,1315700,5
ST,1315700,6
LNG,1314100,7
AZUL,1308900,6
HSY,1307500,12
UNM,1305000,4
SWK,1290100,6
PUK,1289400,4
FERG,1286900,7
PNR,1286300,6
